hook,n,valid_n,median,q1,q3,mean,trimmed_mean,winsorized_mean,bootstrap_median_ci_low,bootstrap_median_ci_high,sample_note
These Aesthetic Outfits ✨️>>,2,2,6.455763839176903,6.426063808303489,6.485463870050316,6.455763839176903,6.455763839176903,6.455763839176903,6.396363777430075,6.5151639009237305,anecdotal
These Outfits 😩💗✨️>>>>,2,2,6.4102891455049225,6.401185132868347,6.4193931581414985,6.4102891455049225,6.4102891455049225,6.4102891455049225,6.392081120231772,6.428497170778074,anecdotal
These Outfits ✨>>>,2,2,6.403970359563123,6.380426378619383,6.427514340506864,6.403970359563123,6.403970359563123,6.403970359563123,6.356882397675643,6.451058321450604,anecdotal
Upgrade your look instantly ✨,2,2,6.369727151336429,6.357419675745595,6.382034626927263,6.369727151336429,6.369727151336429,6.369727151336429,6.34511220015476,6.394342102518098,anecdotal
You must have these linen pants this summer ☀️,2,2,6.344709417527097,6.256062239383349,6.433356595670846,6.344709417527097,6.344709417527097,6.344709417527097,6.167415061239599,6.522003773814595,anecdotal
These combination 😩✨>>>>,2,2,6.311866465763252,6.304906789646722,6.318826141879782,6.311866465763252,6.311866465763252,6.311866465763252,6.297947113530193,6.325785817996311,anecdotal
These outfits 😩✨️💕 >>>,2,2,6.2562821948548475,6.249956522575934,6.26260786713376,6.2562821948548475,6.2562821948548475,6.2562821948548475,6.24363085029702,6.268933539412674,anecdotal
Men in these color combinations ✨🫶 >>>,2,2,6.008087823877169,5.729159481919897,6.287016165834442,6.008087823877169,6.008087823877169,6.008087823877169,5.450231139962624,6.5659445077917145,anecdotal
Men in these shirts 😩✨️ >>>>,2,2,5.955792510774879,5.678353875761494,6.233231145788263,5.955792510774879,5.955792510774879,5.955792510774879,5.40091524074811,6.510669780801647,anecdotal
Men in these clean outfits ✨😩🤌 >>>,2,2,5.946422335255405,5.661736544198748,6.231108126312062,5.946422335255405,5.946422335255405,5.946422335255405,5.37705075314209,6.51579391736872,anecdotal
"Save this color guide, you'll need it later >>",2,2,5.941920127297069,5.652356256792045,6.231483997802094,5.941920127297069,5.941920127297069,5.941920127297069,5.362792386287019,6.52104786830712,anecdotal
Attractive outfits for men 🤌✨️💕 >>>>,2,2,5.801812877684464,5.497895543671443,6.105730211697485,5.801812877684464,5.801812877684464,5.801812877684464,5.193978209658422,6.409647545710506,anecdotal
Men in these linen outfits ✨😩🤌 >>>,2,2,5.336614134842429,4.805521802864243,5.867706466820614,5.336614134842429,5.336614134842429,5.336614134842429,4.274429470886059,6.398798798798799,anecdotal
Try these outfits for an attractive look ✨️,2,2,5.322073243130122,4.834691617951733,5.80945486830851,5.322073243130122,5.322073243130122,5.322073243130122,4.3473099927733445,6.296836493486898,anecdotal
Summer outfit ideas under budget 😮‍💨✨ >>>,2,2,5.273320232626513,4.729601597602815,5.8170388676502105,5.273320232626513,5.273320232626513,5.273320232626513,4.185882962579117,6.360757502673908,anecdotal
Why these shirts make you look 10x more attractive 👇✨,2,2,5.185592898673566,5.167475268781228,5.203710528565905,5.185592898673566,5.185592898673566,5.185592898673566,5.149357638888889,5.221828158458244,anecdotal
These T-shirts make you look attractive these summer ✨️,2,2,4.855348068989094,4.559337016562835,5.151359121415353,4.855348068989094,4.855348068989094,4.855348068989094,4.263325964136576,5.447370173841612,anecdotal
These gym trackpants 💀🔥,2,2,4.774670847595554,4.506622402213731,5.042719292977377,4.774670847595554,4.774670847595554,4.774670847595554,4.238573956831907,5.310767738359202,anecdotal
"Comment ""LINK"" for all outfit links 👇🔗",2,2,4.312910922027503,4.256984238900905,4.3688376051541,4.312910922027503,4.312910922027503,4.312910922027503,4.201057555774307,4.424764288280699,anecdotal
"Save this wardrobe guide, you'll need it later >>",1,1,9.010274874857293,9.010274874857293,9.010274874857293,9.010274874857293,9.010274874857293,9.010274874857293,9.010274874857293,9.010274874857293,anecdotal
Follow to learn the fashion details most men overlook.,1,1,8.71934604904632,8.71934604904632,8.71934604904632,8.71934604904632,8.71934604904632,8.71934604904632,8.71934604904632,8.71934604904632,anecdotal
These check shirts make you attractive ✨️💗 >>>>,1,1,8.666666666666668,8.666666666666668,8.666666666666668,8.666666666666668,8.666666666666668,8.666666666666668,8.666666666666668,8.666666666666668,anecdotal
Share this with a friend who still wears random shirts,1,1,8.515361392292666,8.515361392292666,8.515361392292666,8.515361392292666,8.515361392292666,8.515361392292666,8.515361392292666,8.515361392292666,anecdotal
Which one has the strongest aura? 👀,1,1,8.445265278710544,8.445265278710544,8.445265278710544,8.445265278710544,8.445265278710544,8.445265278710544,8.445265278710544,8.445265278710544,anecdotal
Men in these premium budget shirt-jeans outfits ✨😩🤌 >>>,1,1,7.958020833333333,7.958020833333333,7.958020833333333,7.958020833333333,7.958020833333333,7.958020833333333,7.958020833333333,7.958020833333333,anecdotal
Minimal outfits. Maximum impact. ✨,1,1,6.568840344849939,6.568840344849939,6.568840344849939,6.568840344849939,6.568840344849939,6.568840344849939,6.568840344849939,6.568840344849939,anecdotal
Try These Attractive Outfits ✨️>>>,1,1,6.528507336388166,6.528507336388166,6.528507336388166,6.528507336388166,6.528507336388166,6.528507336388166,6.528507336388166,6.528507336388166,anecdotal
Aura of Boots 💀🔥 >>>>>,1,1,6.505516549648947,6.505516549648947,6.505516549648947,6.505516549648947,6.505516549648947,6.505516549648947,6.505516549648947,6.505516549648947,anecdotal
The 2nd one ✨️😩 >>>>,1,1,6.503974028881674,6.503974028881674,6.503974028881674,6.503974028881674,6.503974028881674,6.503974028881674,6.503974028881674,6.503974028881674,anecdotal
Men in these outfits 😩✨ >>>,1,1,6.502268308489954,6.502268308489954,6.502268308489954,6.502268308489954,6.502268308489954,6.502268308489954,6.502268308489954,6.502268308489954,anecdotal
Must have colors for men in 2026 >>>,1,1,6.491015867458183,6.491015867458183,6.491015867458183,6.491015867458183,6.491015867458183,6.491015867458183,6.491015867458183,6.491015867458183,anecdotal
You should have all the pants 💀 >>>,1,1,6.4660056657223794,6.4660056657223794,6.4660056657223794,6.4660056657223794,6.4660056657223794,6.4660056657223794,6.4660056657223794,6.4660056657223794,anecdotal
Share this with a friend who still wears random skinny pants,1,1,6.4466019417475735,6.4466019417475735,6.4466019417475735,6.4466019417475735,6.4466019417475735,6.4466019417475735,6.4466019417475735,6.4466019417475735,anecdotal
These outfits on men 😩❤️‍🔥>>>>,1,1,6.441048034934497,6.441048034934497,6.441048034934497,6.441048034934497,6.441048034934497,6.441048034934497,6.441048034934497,6.441048034934497,anecdotal
These Outfits 💀🔥 >>>>>,1,1,6.439867109634552,6.439867109634552,6.439867109634552,6.439867109634552,6.439867109634552,6.439867109634552,6.439867109634552,6.439867109634552,anecdotal
Summer outfits that make you look expensive without spending a fortune. ☀️🤍,1,1,6.428734321550741,6.428734321550741,6.428734321550741,6.428734321550741,6.428734321550741,6.428734321550741,6.428734321550741,6.428734321550741,anecdotal
Must Have These Perfumes 🥵✨️>>>,1,1,6.41025641025641,6.41025641025641,6.41025641025641,6.41025641025641,6.41025641025641,6.41025641025641,6.41025641025641,6.41025641025641,anecdotal
Why these checkered fits make you look instantly stylish 👇✨,1,1,6.406304022127464,6.406304022127464,6.406304022127464,6.406304022127464,6.406304022127464,6.406304022127464,6.406304022127464,6.406304022127464,anecdotal
These Outfits 😩✨>>>>,1,1,6.403366634414744,6.403366634414744,6.403366634414744,6.403366634414744,6.403366634414744,6.403366634414744,6.403366634414744,6.403366634414744,anecdotal
These outfits 💀🔥 >>>>,1,1,6.40296584875428,6.40296584875428,6.40296584875428,6.40296584875428,6.40296584875428,6.40296584875428,6.40296584875428,6.40296584875428,anecdotal
These striped shirts 💗😩✨️>>>>,1,1,6.401913343345014,6.401913343345014,6.401913343345014,6.401913343345014,6.401913343345014,6.401913343345014,6.401913343345014,6.401913343345014,anecdotal
Read Caption For Full Guide 👇,1,1,6.399858956276446,6.399858956276446,6.399858956276446,6.399858956276446,6.399858956276446,6.399858956276446,6.399858956276446,6.399858956276446,anecdotal
You must have these 🔥 >>>,1,1,6.397325238168515,6.397325238168515,6.397325238168515,6.397325238168515,6.397325238168515,6.397325238168515,6.397325238168515,6.397325238168515,anecdotal
These shirts make you attractive ✨️💗 >>>>,1,1,6.396874935411198,6.396874935411198,6.396874935411198,6.396874935411198,6.396874935411198,6.396874935411198,6.396874935411198,6.396874935411198,anecdotal
These T-shirts ✨️ >>>>,1,1,6.388422035480859,6.388422035480859,6.388422035480859,6.388422035480859,6.388422035480859,6.388422035480859,6.388422035480859,6.388422035480859,anecdotal
These perfumes make you smell attractive ✨️🥵 [Must Have],1,1,6.388297872340426,6.388297872340426,6.388297872340426,6.388297872340426,6.388297872340426,6.388297872340426,6.388297872340426,6.388297872340426,anecdotal
Must  have linen shirts >>> ✨,1,1,6.3850478245810365,6.3850478245810365,6.3850478245810365,6.3850478245810365,6.3850478245810365,6.3850478245810365,6.3850478245810365,6.3850478245810365,anecdotal
Try These Aesthetic Outfits ✨️>>,1,1,6.376973261670554,6.376973261670554,6.376973261670554,6.376973261670554,6.376973261670554,6.376973261670554,6.376973261670554,6.376973261670554,anecdotal
These striped shirts ✨️💗😩🤌,1,1,6.370833058131964,6.370833058131964,6.370833058131964,6.370833058131964,6.370833058131964,6.370833058131964,6.370833058131964,6.370833058131964,anecdotal
CRINGE 🤡❌️ | CLASS 🔱✅️,1,1,6.370280146163215,6.370280146163215,6.370280146163215,6.370280146163215,6.370280146163215,6.370280146163215,6.370280146163215,6.370280146163215,anecdotal
These outfits make you look more aesthetic instantly.,1,1,6.323666978484566,6.323666978484566,6.323666978484566,6.323666978484566,6.323666978484566,6.323666978484566,6.323666978484566,6.323666978484566,anecdotal
You should have all these pants 💀 >>>,1,1,6.317015186065693,6.317015186065693,6.317015186065693,6.317015186065693,6.317015186065693,6.317015186065693,6.317015186065693,6.317015186065693,anecdotal
These outfit combos do the talking before you even say a word. 🖤,1,1,6.316546762589928,6.316546762589928,6.316546762589928,6.316546762589928,6.316546762589928,6.316546762589928,6.316546762589928,6.316546762589928,anecdotal
"Save this color guide, you’ll thank yourself later >>",1,1,6.313949099000656,6.313949099000656,6.313949099000656,6.313949099000656,6.313949099000656,6.313949099000656,6.313949099000656,6.313949099000656,anecdotal
Men in these outfits 🥵🔥>>>,1,1,6.312816799420709,6.312816799420709,6.312816799420709,6.312816799420709,6.312816799420709,6.312816799420709,6.312816799420709,6.312816799420709,anecdotal
Attractive Summer Outfits for Men 🤌✨💕,1,1,6.308103294746216,6.308103294746216,6.308103294746216,6.308103294746216,6.308103294746216,6.308103294746216,6.308103294746216,6.308103294746216,anecdotal
Men in these shirts 😩✨️💕 >>>,1,1,6.2894736842105265,6.2894736842105265,6.2894736842105265,6.2894736842105265,6.2894736842105265,6.2894736842105265,6.2894736842105265,6.2894736842105265,anecdotal
Twinning Karien? 😚🤌✨️🩷 >>>,1,1,6.282407407407407,6.282407407407407,6.282407407407407,6.282407407407407,6.282407407407407,6.282407407407407,6.282407407407407,6.282407407407407,anecdotal
Try these outfits ✨️❤️‍🔥 >>>,1,1,6.282344823260044,6.282344823260044,6.282344823260044,6.282344823260044,6.282344823260044,6.282344823260044,6.282344823260044,6.282344823260044,anecdotal
Comment your favorite brand >>,1,1,6.276481149012568,6.276481149012568,6.276481149012568,6.276481149012568,6.276481149012568,6.276481149012568,6.276481149012568,6.276481149012568,anecdotal
Men in these outfits 😩💗✨️ >>>>,1,1,6.25354394491697,6.25354394491697,6.25354394491697,6.25354394491697,6.25354394491697,6.25354394491697,6.25354394491697,6.25354394491697,anecdotal
Attractive Outfits Under Budget >>>,1,1,6.248175182481751,6.248175182481751,6.248175182481751,6.248175182481751,6.248175182481751,6.248175182481751,6.248175182481751,6.248175182481751,anecdotal
these outfits 😩✨️🌸 >>>>>,1,1,6.243705941591138,6.243705941591138,6.243705941591138,6.243705941591138,6.243705941591138,6.243705941591138,6.243705941591138,6.243705941591138,anecdotal
You should try these shirts 💕✨️,1,1,6.24114415452052,6.24114415452052,6.24114415452052,6.24114415452052,6.24114415452052,6.24114415452052,6.24114415452052,6.24114415452052,anecdotal
Men in these shirts 😮‍💨🤌 >>>,1,1,6.2385736423310645,6.2385736423310645,6.2385736423310645,6.2385736423310645,6.2385736423310645,6.2385736423310645,6.2385736423310645,6.2385736423310645,anecdotal
You must have all these shirts this summer ☀️,1,1,6.235296279958829,6.235296279958829,6.235296279958829,6.235296279958829,6.235296279958829,6.235296279958829,6.235296279958829,6.235296279958829,anecdotal
Men in these shirts 😩✨ >>>,1,1,6.2267967898984065,6.2267967898984065,6.2267967898984065,6.2267967898984065,6.2267967898984065,6.2267967898984065,6.2267967898984065,6.2267967898984065,anecdotal
These Classy Jeans ✨️ >>>>,1,1,5.5227532731663915,5.5227532731663915,5.5227532731663915,5.5227532731663915,5.5227532731663915,5.5227532731663915,5.5227532731663915,5.5227532731663915,anecdotal
GUESS THE CAR MODEL 🤔😁 >>>,1,1,5.5097970198286985,5.5097970198286985,5.5097970198286985,5.5097970198286985,5.5097970198286985,5.5097970198286985,5.5097970198286985,5.5097970198286985,anecdotal
Shirts you must have ✨️ >>>>,1,1,5.505370585259901,5.505370585259901,5.505370585259901,5.505370585259901,5.505370585259901,5.505370585259901,5.505370585259901,5.505370585259901,anecdotal
These T-shirts 🥵🔥 >>>,1,1,5.46638212161903,5.46638212161903,5.46638212161903,5.46638212161903,5.46638212161903,5.46638212161903,5.46638212161903,5.46638212161903,anecdotal
These Polo T-shirts 😩🩷✨ >>>,1,1,5.4367754111620386,5.4367754111620386,5.4367754111620386,5.4367754111620386,5.4367754111620386,5.4367754111620386,5.4367754111620386,5.4367754111620386,anecdotal
Men in these premium shirt + pant combinations 🤍✨ >>>,1,1,5.429486601100785,5.429486601100785,5.429486601100785,5.429486601100785,5.429486601100785,5.429486601100785,5.429486601100785,5.429486601100785,anecdotal
"Follow + Comment ""LINK"" 😁 for shirt links 🖇",1,1,5.424537211938043,5.424537211938043,5.424537211938043,5.424537211938043,5.424537211938043,5.424537211938043,5.424537211938043,5.424537211938043,anecdotal
No Follow = No Link ❌️,1,1,5.40590168986594,5.40590168986594,5.40590168986594,5.40590168986594,5.40590168986594,5.40590168986594,5.40590168986594,5.40590168986594,anecdotal
Why these footwear instantly upgrade your whole look 👇✨,1,1,5.402695929011719,5.402695929011719,5.402695929011719,5.402695929011719,5.402695929011719,5.402695929011719,5.402695929011719,5.402695929011719,anecdotal
Men in these shirts 😩🩷✨ >>>,1,1,5.39131221719457,5.39131221719457,5.39131221719457,5.39131221719457,5.39131221719457,5.39131221719457,5.39131221719457,5.39131221719457,anecdotal
These shirts for men 😭🤌✨️ >>>>,1,1,5.366519057409457,5.366519057409457,5.366519057409457,5.366519057409457,5.366519057409457,5.366519057409457,5.366519057409457,5.366519057409457,anecdotal
Men in these outfits 😩💗✨️ >>>>>,1,1,5.356408689371632,5.356408689371632,5.356408689371632,5.356408689371632,5.356408689371632,5.356408689371632,5.356408689371632,5.356408689371632,anecdotal
Men in these summer cool budget outfits 🥶🔥 >>>,1,1,5.350162066594637,5.350162066594637,5.350162066594637,5.350162066594637,5.350162066594637,5.350162066594637,5.350162066594637,5.350162066594637,anecdotal
Men in these outfits ✨️😭 >>>,1,1,5.336625452352232,5.336625452352232,5.336625452352232,5.336625452352232,5.336625452352232,5.336625452352232,5.336625452352232,5.336625452352232,anecdotal
These rich look shirts >>>>,1,1,5.320255923504184,5.320255923504184,5.320255923504184,5.320255923504184,5.320255923504184,5.320255923504184,5.320255923504184,5.320255923504184,anecdotal
Share this with a friend who still wears random colors,1,1,5.3169965277777775,5.3169965277777775,5.3169965277777775,5.3169965277777775,5.3169965277777775,5.3169965277777775,5.3169965277777775,5.3169965277777775,anecdotal
These outfits ✨️🩷 >>>>,1,1,5.303868502746159,5.303868502746159,5.303868502746159,5.303868502746159,5.303868502746159,5.303868502746159,5.303868502746159,5.303868502746159,anecdotal
These birthday outfits ✨️💗 >>>>>,1,1,5.297835710772258,5.297835710772258,5.297835710772258,5.297835710772258,5.297835710772258,5.297835710772258,5.297835710772258,5.297835710772258,anecdotal
These affordable shirt + white trouser combinations >>> 🤍✨,1,1,5.2867841156891995,5.2867841156891995,5.2867841156891995,5.2867841156891995,5.2867841156891995,5.2867841156891995,5.2867841156891995,5.2867841156891995,anecdotal
Clean oversized outfit ideas under budget ✨ >>>,1,1,5.284327323162275,5.284327323162275,5.284327323162275,5.284327323162275,5.284327323162275,5.284327323162275,5.284327323162275,5.284327323162275,anecdotal
"Comment ""LINK"" for all outfit links 🔗",1,1,5.276345365595663,5.276345365595663,5.276345365595663,5.276345365595663,5.276345365595663,5.276345365595663,5.276345365595663,5.276345365595663,anecdotal
Men in these outfits 😩✨️💕 >>>>,1,1,5.250818800212748,5.250818800212748,5.250818800212748,5.250818800212748,5.250818800212748,5.250818800212748,5.250818800212748,5.250818800212748,anecdotal
Share this with a friend who still wears cringy screen,1,1,4.899444444444445,4.899444444444445,4.899444444444445,4.899444444444445,4.899444444444445,4.899444444444445,4.899444444444445,4.899444444444445,anecdotal
The right color combination can make even simple clothes look premium.,1,1,4.607654962176809,4.607654962176809,4.607654962176809,4.607654962176809,4.607654962176809,4.607654962176809,4.607654962176809,4.607654962176809,anecdotal
Men in these outfits >>>,1,1,4.3667046799124085,4.3667046799124085,4.3667046799124085,4.3667046799124085,4.3667046799124085,4.3667046799124085,4.3667046799124085,4.3667046799124085,anecdotal
Men in these clean premium shirt-jeans outfits 🤍✨ >>>,1,1,4.2894997969162105,4.2894997969162105,4.2894997969162105,4.2894997969162105,4.2894997969162105,4.2894997969162105,4.2894997969162105,4.2894997969162105,anecdotal
"Comment ""LINK"" for all pants links 👇🔗",1,1,4.258362113263465,4.258362113263465,4.258362113263465,4.258362113263465,4.258362113263465,4.258362113263465,4.258362113263465,4.258362113263465,anecdotal
"Comment ""LINK"" for all footwear links 👇🔗",1,1,4.249140955619055,4.249140955619055,4.249140955619055,4.249140955619055,4.249140955619055,4.249140955619055,4.249140955619055,4.249140955619055,anecdotal
Rank your Top 3 brands in the comments 👇,1,1,4.185381655002303,4.185381655002303,4.185381655002303,4.185381655002303,4.185381655002303,4.185381655002303,4.185381655002303,4.185381655002303,anecdotal
